loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defectd
754,20,0.18,2,5,98,5,4,0.9,125,6,8,253,35,32,142,16,41,71,77,5,0
214,12,0.23,5.5,7,40,7,5,0.9,116,12,6,347,16,91,495,15,56,125,47,17,0
125,13,0.37,2.8,3,58,10,2,0.6,40,15,7,349,40,98,329,25,49,128,42,17,0
859,33,0.21,2.6,3,45,5,4,1,85,10,5,302,28,30,103,35,46,72,60,17,0
381,28,0.34,4.1,3,113,5,3,0.9,86,15,7,370,35,61,259,35,46,141,100,6,0
350,23,0.37,2.8,7,108,10,4,0.6,85,10,8,134,49,79,382,29,40,64,94,14,0
328,37,0.18,5.6,4,38,7,5,0.8,116,12,7,250,37,93,265,31,59,83,56,19,0
242,26,0.35,3.8,5,76,10,4,0.8,41,14,10,96,40,41,253,30,39,97,62,18,0
854,31,0.41,3.9,4,43,7,5,0.7,105,10,6,178,15,51,209,30,29,77,94,12,0
204,49,0.42,3.5,7,95,7,4,0.7,76,13,5,81,36,35,443,29,35,145,60,17,0
792,39,0.38,4.4,7,39,9,2,0.9,124,12,7,370,10,94,287,27,33,130,100,18,0
858,12,0.18,5.2,5,120,5,5,0.7,106,15,9,124,23,50,483,17,48,85,49,9,0
658,16,0.37,2.9,6,60,9,3,0.6,66,13,8,400,31,80,149,24,41,115,73,19,0
189,13,0.39,3.3,4,78,9,4,0.7,53,5,7,200,37,43,145,33,57,72,90,13,0
704,44,0.32,4.6,2,104,4,5,1,41,11,6,320,47,95,462,33,41,85,72,9,0
532,21,0.18,5.2,4,32,4,5,0.7,67,11,5,122,36,22,465,29,50,60,63,8,0
132,20,0.29,4.8,4,33,6,2,0.8,149,13,5,165,35,78,285,17,48,137,77,18,0
130,11,0.31,2.7,7,65,5,5,0.6,74,15,8,353,15,25,368,27,35,94,49,14,0
195,41,0.15,2.5,5,86,4,4,0.5,79,11,10,202,31,67,345,25,37,92,41,17,0
323,42,0.39,4.1,7,106,9,5,0.6,92,11,8,332,28,91,408,17,29,66,62,5,0
338,17,0.22,5.8,3,36,4,3,0.7,116,5,7,391,35,29,157,28,40,98,63,6,0
617,14,0.2,3.7,4,68,7,3,0.7,74,14,8,99,18,24,480,21,51,115,71,6,0
716,25,0.34,5.9,2,85,6,2,0.7,67,11,8,102,20,23,312,17,36,70,87,13,0
127,38,0.35,2,5,69,5,5,1,47,15,8,90,43,74,166,17,58,119,42,18,0
674,47,0.23,4.2,4,66,10,5,1,97,13,6,156,44,100,345,25,31,86,99,11,0
303,47,0.45,5.3,5,106,8,3,1,76,10,8,330,31,58,261,25,43,109,62,20,0
833,30,0.42,5.8,3,63,8,5,0.8,116,5,8,176,17,29,181,26,29,84,73,15,0
765,36,0.25,2,4,37,10,2,0.8,104,12,5,299,29,90,431,22,47,121,44,12,0
818,22,0.26,5.7,2,74,10,4,0.9,147,10,8,194,16,67,103,16,40,119,49,12,0
658,30,0.39,5.7,6,117,10,3,0.8,123,11,8,315,20,93,239,33,29,148,94,11,0
529,24,0.47,2.5,4,99,7,2,0.8,128,11,5,383,48,21,180,24,50,87,100,13,0
325,17,0.28,4.9,2,38,4,2,0.6,62,8,8,193,19,48,450,27,38,140,46,18,0
559,30,0.24,2,7,72,6,2,0.7,46,13,10,255,39,47,283,32,60,137,46,16,0
703,24,0.2,3.8,5,42,4,2,0.7,117,11,9,359,33,40,378,16,60,116,54,16,0
384,16,0.13,5.3,5,107,6,2,0.8,148,7,7,376,34,25,241,16,26,102,69,6,0
928,25,0.15,4.2,6,58,10,2,0.9,100,8,6,225,33,43,286,24,58,121,56,14,0
990,36,0.25,4.9,7,108,5,5,0.7,139,8,5,208,38,45,175,16,29,67,68,9,0
106,22,0.32,2.7,5,62,7,5,0.6,122,13,10,126,16,80,149,16,55,97,79,5,0
877,34,0.26,3.9,4,49,9,3,0.8,91,13,6,212,15,87,444,23,51,62,59,13,0
925,24,0.13,3.9,7,93,6,2,0.6,104,9,6,202,49,74,251,19,29,86,46,6,0
263,14,0.42,3.8,6,101,5,3,0.6,49,6,10,316,48,51,400,23,31,62,93,18,0
814,40,0.2,5,4,102,8,5,0.6,58,5,6,158,32,20,345,32,45,101,93,12,0
532,47,0.3,5,6,41,5,3,0.7,99,15,10,252,44,34,304,18,58,67,53,17,0
448,41,0.47,2.5,5,120,4,5,0.8,105,6,7,385,39,57,352,19,52,115,68,18,0
384,13,0.32,5,4,110,10,4,0.5,104,12,9,339,47,42,430,16,36,80,100,6,0
259,37,0.43,3.2,5,39,7,2,0.8,106,14,9,208,13,29,168,15,47,120,53,20,0
320,19,0.3,3.3,2,109,9,5,1,130,10,7,377,15,100,314,30,57,143,89,8,0
881,23,0.27,4.8,2,117,10,2,0.6,119,13,6,221,23,32,203,35,37,115,45,10,0
444,49,0.21,3.9,7,50,6,3,0.8,146,5,10,135,22,81,444,31,28,108,99,19,0
204,39,0.49,4,3,85,9,3,0.8,40,9,6,383,50,81,177,27,57,67,87,8,0
194,21,0.35,3.6,7,98,7,3,0.6,136,14,9,151,32,47,304,26,50,61,56,11,0
489,34,0.3,2,3,106,4,4,0.9,48,10,7,148,50,54,142,25,47,68,63,20,0
199,33,0.14,4.4,5,36,6,2,0.6,122,11,5,340,13,88,418,16,52,116,41,5,0
467,18,0.27,2,7,32,5,2,1,62,15,8,369,35,100,392,21,37,131,46,12,0
967,39,0.23,5.6,4,109,8,3,0.7,58,11,10,152,40,84,345,24,38,129,99,18,0
452,22,0.16,2.6,3,94,9,3,0.6,91,5,7,359,42,53,105,24,47,133,95,6,0
718,50,0.15,2.2,3,84,5,3,0.5,119,8,9,250,35,99,144,25,26,119,45,16,0
370,32,0.4,2.6,6,116,10,3,0.5,112,10,8,96,27,62,459,21,44,108,66,13,0
926,27,0.5,5.4,5,36,9,5,0.9,85,11,9,169,21,54,219,27,29,109,49,13,0
144,22,0.12,2.6,7,111,8,4,1,51,7,9,325,22,22,266,26,46,105,91,18,0
847,31,0.13,3.2,4,84,10,4,0.5,117,8,10,220,32,97,237,26,41,70,87,11,0
570,18,0.14,3.2,6,96,9,4,0.7,46,15,7,384,49,85,142,17,50,80,50,15,0
649,12,0.31,2.9,4,39,4,4,0.8,148,13,8,214,14,20,464,28,39,94,44,17,0
227,46,0.15,4.7,7,67,7,4,0.5,145,5,10,106,22,82,322,28,52,146,91,18,0
487,13,0.14,2.2,3,69,7,4,0.8,93,7,7,291,33,33,481,25,31,62,50,12,0
180,27,0.4,5,2,40,6,4,0.6,61,10,5,96,35,63,170,25,58,138,64,12,0
665,18,0.27,3.9,2,84,9,5,1,117,10,5,280,38,41,339,27,26,84,93,15,0
400,17,0.12,5.3,6,111,9,3,0.6,136,10,9,309,45,55,196,19,34,99,87,18,0
949,39,0.36,4.6,3,84,5,5,0.7,78,12,5,347,40,28,157,25,45,141,42,6,0
743,39,0.12,5.9,3,79,9,5,0.8,78,13,8,201,41,21,153,18,59,76,81,18,0
733,36,0.14,2.4,3,42,8,3,0.6,58,6,8,317,14,67,233,26,36,76,44,16,0
982,20,0.49,4.5,4,43,9,4,0.7,43,12,9,102,29,26,487,26,45,68,56,11,0
470,31,0.39,5.7,2,91,8,4,0.7,87,14,5,196,18,52,383,29,56,91,70,18,0
691,24,0.21,4.8,7,89,10,5,1,62,9,6,396,39,76,379,29,35,120,93,10,0
296,28,0.2,3.7,4,117,6,5,0.7,42,11,5,181,48,54,111,29,29,71,98,11,0
821,48,0.19,2.5,4,49,6,2,0.8,144,8,10,391,41,57,500,28,35,94,46,8,0
171,20,0.34,4.3,4,107,10,5,0.7,65,7,10,277,24,34,215,20,60,125,74,7,0
146,50,0.4,4.5,5,65,4,4,0.6,44,15,5,364,13,20,232,27,51,100,57,12,0
777,49,0.47,2.4,6,50,6,2,0.9,94,14,5,332,40,78,119,31,38,78,57,7,0
333,20,0.24,3.5,7,30,8,5,0.9,134,10,6,292,14,63,134,26,36,125,67,5,0
891,46,0.19,4.4,4,82,6,5,0.8,83,6,7,314,30,21,382,23,53,70,83,5,0
396,45,0.11,3.4,7,90,9,5,0.6,102,9,8,130,40,92,272,15,30,117,83,9,0
181,24,0.33,3.6,3,36,7,5,0.7,148,15,10,169,27,36,291,25,60,77,44,6,0
975,15,0.4,5.1,5,101,6,4,0.6,53,11,5,154,18,21,487,31,27,68,47,16,0
338,36,0.17,3.6,7,33,5,3,0.6,141,12,7,179,36,72,185,23,60,83,72,8,0
987,43,0.49,2.2,3,73,8,2,0.9,58,9,9,314,48,85,393,32,46,63,67,14,0
203,41,0.25,4.4,3,96,10,5,0.8,111,12,10,195,34,68,346,33,28,106,44,16,0
489,23,0.32,4.7,5,74,8,2,0.5,103,5,10,373,48,26,399,32,44,150,93,18,0
384,47,0.11,4.1,5,100,6,3,0.9,85,15,10,151,22,77,284,17,34,144,78,14,0
564,40,0.16,2.9,5,49,7,5,0.6,131,7,10,160,26,67,254,23,40,63,63,16,0
750,39,0.33,3.2,2,65,6,5,0.6,66,8,10,98,29,39,273,20,47,127,63,17,0
954,27,0.35,3.1,4,116,5,3,0.9,67,12,7,187,32,76,288,35,60,88,80,7,0
473,10,0.49,2.1,2,31,10,3,0.8,125,10,10,108,22,79,444,16,51,90,76,16,0
266,37,0.42,4.9,4,62,8,5,0.9,76,11,9,318,34,100,444,24,47,62,58,17,0
479,25,0.15,2.6,3,109,8,5,0.7,104,15,6,270,15,69,126,28,55,82,40,20,0
463,25,0.2,5.7,5,112,7,2,0.9,42,6,6,91,11,37,422,25,51,101,78,6,0
314,30,0.26,5.4,4,91,10,3,0.5,123,14,8,265,30,23,339,18,35,145,78,19,0
786,37,0.2,5.8,3,92,10,4,0.5,139,5,5,323,15,27,455,18,43,92,92,14,0
373,47,0.34,5.9,2,117,5,3,0.5,111,9,5,108,22,92,278,32,27,129,97,16,0
818,24,0.46,3.5,3,105,9,2,0.8,138,7,10,148,44,24,377,16,52,115,62,5,0
799,47,0.47,4.9,6,119,6,5,1,42,9,8,296,15,27,370,30,38,85,77,19,0
763,19,0.21,2.8,5,71,6,5,0.5,49,9,8,298,11,51,225,29,51,102,73,18,0
173,46,0.1,3.8,2,119,10,2,0.9,65,15,8,100,16,69,325,19,45,103,89,9,0
723,10,0.37,2.8,6,91,8,2,0.7,95,15,7,321,31,74,298,26,26,119,68,9,0
750,36,0.27,4.8,2,52,7,3,0.9,142,11,8,369,32,89,208,16,37,87,64,19,0
